,X,Y,MEASUREMEN,TARGET DEP,SCORE,COS
0,6.05173006633027,46.1658855265269,Gravimetry,3000,5,1
1,6.05175298350968,46.1649861091268,Seismic 2D,500,20,40
2,6.05177589993709,46.1640866917714,Seismic 2D,2000,20,5
3,6.05179881561253,46.1631872744608,Seismic 2D,1000,15,49
4,6.05302454336342,46.1659014424859,Gravimetry,3000,5,8
5,6.05304743917814,46.1650020248254,Gravimetry,3000,5,-15
6,6.05307033424156,46.1641026072096,Seismic 2D,500,20,53
7,6.05309322855372,46.1632031896386,Seismic 2D,1000,15,16
8,6.05431902114791,46.1659173435955,Seismic 2D,2000,20,42
9,6.05434189559791,46.1650179256749,Seismic 2D,2000,20,24
10,6.0543647692973,46.1641185077989,Wells,200,40,26
11,6.05438764224613,46.1632190899679,Seismic 2D,1000,15,39
12,6.05561349968305,46.1659332298559,Seismic 2D,500,20,56
13,6.05563635276827,46.1650338116754,Wells,250,40,47
14,6.05565920510359,46.1641343935395,Wells,200,40,30
15,6.05568205668905,46.1632349754485,Gravimetry,3000,5,2
16,6.05690797896814,46.1659491012668,Gravimetry,3000,5,1
17,6.05693081068855,46.1650496828267,Seismic 2D,500,20,54
18,6.05695364165975,46.1641502644312,Gravimetry,3000,5,28
19,6.0569764718818,46.1632508460806,Seismic 2D,1000,15,36
20,6.05820245900247,46.1659649578285,Gravimetry,3000,5,1
21,6.05822526935802,46.1650655391289,Gravimetry,3000,5,41
22,6.05824807896507,46.164166120474,Gravimetry,3000,5,-5
23,6.05827088782366,46.163266701864,Seismic 2D,1000,15,20
24,6.05949693978535,46.1659807995407,Gravimetry,3000,5,11
25,6.059519728776,46.165081380582,Gravimetry,3000,5,-5
26,6.05954251701885,46.1641819616679,Gravimetry,3000,5,9
27,6.05956530451394,46.1632825427987,Seismic 2D,1000,15,26
28,6.05570490752469,46.1623355574027,Seismic 2D,1000,15,44
29,6.05572775761055,46.1614361394021,Gravimetry,3000,5,13
30,6.05699930135472,46.1623514277751,Gravimetry,3000,5,43
31,6.05702213007857,46.161452009515,Gravimetry,3000,5,-8
32,6.05829369593383,46.1623672832991,Seismic 2D,500,20,23
33,6.05831650329563,46.1614678647796,Gravimetry,3000,5,38
34,6.05958809126132,46.1623831239747,Gravimetry,3000,5,0
35,6.05961087726101,46.1614837051961,Gravimetry,3000,5,0
36,6.06083695582039,46.1641977880129,Seismic 2D,1000,15,51
37,6.06085972195194,46.1632983688848,Gravimetry,3000,5,20
38,6.06088248733648,46.1623989498019,Gravimetry,3000,5,-12
39,6.06090525197403,46.1614995307643,Seismic 2D,500,20,43
40,6.06213139536899,46.164213599509,Seismic 2D,1000,15,-4
41,6.06215414013696,46.1633141801222,Gravimetry,3000,5,-5
42,6.06217688415861,46.1624147607806,Gravimetry,3000,5,32
43,6.06219962743398,46.1615153414844,Gravimetry,3000,5,34
44,6.05833930990909,46.1605684463056,Gravimetry,3000,5,10
45,6.05836211577425,46.1596690278774,Gravimetry,3000,5,19
46,6.05838492089117,46.1587696094952,Gravimetry,3000,5,41
47,6.05963366251308,46.1605842864629,Seismic 2D,500,20,55
48,6.05965644701755,46.1596848677757,Gravimetry,3000,5,4
49,6.05967923077447,46.1587854491343,Seismic 2D,500,20,1
50,6.06092801586465,46.1606001117724,Seismic 2D,500,20,47
51,6.06095077900838,46.1597006928262,Gravimetry,3000,5,7
52,6.06097354140526,46.158801273926,Gravimetry,3000,5,3
53,6.06222236996312,46.1606159222338,Seismic 2D,500,20,23
54,6.06224511174607,46.159716503029,Seismic 2D,500,20,18
55,6.06226785278287,46.1588170838702,Seismic 2D,500,20,0
56,6.05840772525989,46.1578701911592,Gravimetry,3000,5,39
57,6.05843052888044,46.1569707728697,Gravimetry,3000,5,-1
58,6.05970201378388,46.1578860305392,Seismic 2D,500,20,5
59,6.05972479604583,46.1569866119906,Gravimetry,3000,5,6
60,6.06099630305534,46.157901855072,Gravimetry,3000,5,15
61,6.06101906395865,46.1570024362645,Gravimetry,3000,5,17
62,6.06229059307356,46.1579176647576,Gravimetry,3000,5,-8
63,6.06231333261819,46.1570182456915,Gravimetry,3000,5,4
64,6.06353944522991,46.1597322983841,Seismic 2D,500,20,11
65,6.06356216490658,46.1588328789669,Gravimetry,3000,5,34
66,6.06358488383785,46.1579334595959,Seismic 2D,500,20,11
67,6.06360760202375,46.1570340402715,Gravimetry,3000,5,29
68,6.06483377945919,46.1597480788914,Gravimetry,3000,5,8
69,6.0648564777757,46.1588486592161,Gravimetry,3000,5,6
70,6.0648791753475,46.157949239587,Seismic 2D,500,20,12
71,6.06490187217463,46.1570498200044,Seismic 2D,500,20,26
72,6.06612811443322,46.1597638445509,Gravimetry,3000,5,28
73,6.06615079138952,46.1588644246177,Gravimetry,3000,5,21
74,6.06617346760181,46.1579650047308,Gravimetry,3000,5,31
75,6.06619614307014,46.1570655848903,Gravimetry,3000,5,0
76,6.0623360714168,46.1561188266721,Gravimetry,3000,5,3
77,6.06235880946942,46.1552194076996,Gravimetry,3000,5,31
78,6.06238154677611,46.1543199887743,Gravimetry,3000,5,-14
79,6.06363031946433,46.1561346209937,Gravimetry,3000,5,17
80,6.06365303615963,46.1552352017629,Gravimetry,3000,5,-6
81,6.06367575210969,46.1543357825792,Gravimetry,3000,5,26
82,6.06492456825715,46.1561504004685,Gravimetry,3000,5,26
83,6.06494726359508,46.1552509809796,Gravimetry,3000,5,-6
84,6.06496995818848,46.1543515615378,Gravimetry,3000,5,13
85,6.06621881779454,46.1561661650966,Seismic 2D,500,20,20
86,6.06624149177506,46.1552667453498,Gravimetry,3000,5,14
87,6.06626416501175,46.1543673256501,Gravimetry,3000,5,4
88,6.06749041470956,46.1570813349291,Gravimetry,3000,5,-8
89,6.06751306807582,46.1561819148778,Seismic 2D,500,20,18
90,6.06753572069889,46.1552824948734,Seismic 2D,500,20,13
91,6.06755837257882,46.1543830749161,Gravimetry,3000,5,9
92,6.06878468709221,46.1570970701209,Gravimetry,3000,5,32
93,6.06880731910027,46.1561976498122,Gravimetry,3000,5,7
94,6.06882995036585,46.1552982295504,Seismic 2D,500,20,37
95,6.06885258088899,46.1543988093357,Seismic 2D,500,20,57
96,6.07007896021739,46.1571127904656,Gravimetry,3000,5,-12
97,6.07010157086721,46.1562133698997,Gravimetry,3000,5,1
98,6.07012418077525,46.1553139493808,Gravimetry,3000,5,8
99,6.07014678994155,46.154414528909,Seismic 2D,500,20,54
100,6.07137323408438,46.1571284959632,Gravimetry,3000,5,3
101,6.07139582337592,46.1562290751404,Gravimetry,3000,5,-11
102,6.07141841192639,46.1553296543646,Gravimetry,3000,5,-9
103,6.07144099973581,46.1544302336359,Seismic 2D,500,20,11
104,6.07266750869249,46.1571441866136,Gravimetry,3000,5,19
105,6.07269007662572,46.1562447655342,Gravimetry,3000,5,7
106,6.07271264381856,46.1553453445017,Gravimetry,3000,5,7
107,6.07273521027107,46.1544459235164,Gravimetry,3000,5,36
108,6.06887521066973,46.1534993891685,Gravimetry,3000,5,-8
109,6.06889783970812,46.1525999690489,Gravimetry,3000,5,41
110,6.07016939836616,46.1535151084847,Seismic 2D,500,20,36
111,6.07019200604911,46.1526156881079,Seismic 2D,2000,20,45
112,6.07146358680424,46.1535308129547,Gravimetry,3000,5,20
113,6.07148617313171,46.1526313923211,Seismic 2D,500,20,25
114,6.07275777598327,46.1535465025785,Seismic 2D,2000,20,38
115,6.07278034095523,46.1526470816884,Seismic 2D,500,20,56
116,6.06892046800419,46.1517005489771,Gravimetry,3000,5,28
117,6.06894459577917,46.1508023290546,Seismic 2D,2000,20,7
118,6.06924759558093,46.1503129600503,Seismic 2D,2000,20,40
119,6.07021461299045,46.151716267779,Seismic 2D,2000,20,22
120,6.07023721919021,46.1508168474983,Seismic 2D,2000,20,4
121,6.07033271617892,46.1502619975247,Gravimetry,3000,5,17
122,6.07150875871827,46.1517319717354,Seismic 2D,500,20,10
123,6.07153134356396,46.1508325511977,Gravimetry,3000,5,-5
124,6.07159359947239,46.1502027671008,Gravimetry,3000,5,6
125,6.07280290518696,46.151747660846,Seismic 2D,500,20,53
126,6.07282546867853,46.1508482400517,Seismic 2D,500,20,46
127,6.0729324941899,46.1500443562858,Gravimetry,3000,1,3
128,6.07407450951895,46.1526627562097,Seismic 2D,500,20,22
129,6.07409705239583,46.1517633351109,Seismic 2D,500,20,54
130,6.07411959453323,46.1508639140603,Seismic 2D,500,20,51
131,6.07414213593121,46.149964493058,Seismic 2D,500,20,22
132,6.07536867882219,46.152678415885,Gravimetry,3000,5,41
133,6.07539120034416,46.1517789945302,Seismic 2D,500,20,6
134,6.07541372112736,46.1508795732234,Gravimetry,3000,5,-10
135,6.07543624117183,46.149980151965,Gravimetry,3000,5,25
136,6.07345956075251,46.149485337244,Seismic 2D,500,20,40
137,6.07433566188358,46.149302241259,Seismic 2D,500,20,58
138,6.07541701515906,46.1492337539478,Gravimetry,3000,5,-10
139,6.03677551157704,46.1432080342304,Seismic 2D,500,20,30
140,6.03679866613209,46.1423086211533,Gravimetry,3000,5,-11
141,6.03682181992781,46.1414092081262,Gravimetry,3000,5,4
142,6.03684497296425,46.1405097951495,Gravimetry,3000,5,39
143,6.03806944564507,46.1432241218001,Gravimetry,3000,5,-5
144,6.03809257885345,46.14232470846,Seismic 2D,500,20,21
145,6.03811571130319,46.1414252951698,Seismic 2D,500,20,1
146,6.03813884299434,46.1405258819301,Gravimetry,3000,5,27
147,6.03936338047178,46.1432401945269,Seismic 2D,500,20,35
148,6.03938649233343,46.1423407809239,Seismic 2D,500,20,25
149,6.03940960343715,46.1414413673709,Gravimetry,3000,5,36
150,6.03943271378298,46.1405419538683,Gravimetry,3000,5,14
151,6.04065731605647,46.1432562524105,Seismic 2D,500,20,48
152,6.04068040657135,46.1423568385449,Gravimetry,3000,1,-1
153,6.040703496329,46.1414574247294,Gravimetry,3000,5,8
154,6.04072167857675,46.1405612588362,Gravimetry,3000,5,35
155,6.03929404033881,46.1459384356341,Gravimetry,3000,5,7
156,6.03931715447451,46.1450390218822,Gravimetry,3000,5,30
157,6.03934026785216,46.1441396081797,Gravimetry,3000,5,0
158,6.04058803996798,46.1459544943056,Gravimetry,3000,1,-14
159,6.04061113275483,46.1450550802911,Gravimetry,3000,5,-11
160,6.0406342247843,46.144155666326,Gravimetry,3000,5,-9
161,6.04188204035456,46.1459705381332,Seismic 2D,4000,15,32
162,6.0419051117925,46.1450711238563,Gravimetry,3000,5,7
163,6.04192818247377,46.1441717096289,Seismic 2D,500,20,57
164,6.04195125239842,46.1432722954511,Gravimetry,3000,5,13
165,6.04317604149785,46.145986567117,Seismic 2D,4000,15,23
166,6.04319909158683,46.145087152578,Gravimetry,3000,5,18
167,6.04322214091986,46.1441877380884,Seismic 2D,500,20,34
168,6.04324518949696,46.1432883236485,Seismic 2D,500,20,55
169,6.0419743215665,46.1423728813231,Gravimetry,3000,5,37
170,6.04194782069579,46.1415035559443,Gravimetry,3000,5,32
171,6.04166974406102,46.1407560151165,Gravimetry,3000,5,14
172,6.04326823731818,46.1423889092585,Gravimetry,3000,5,16
173,6.04332527249513,46.1415158105802,Gravimetry,3000,5,35
174,6.04369947616491,46.1408992090398,Gravimetry,3000,5,-11
175,6.04312993905181,46.1477853963425,Gravimetry,3000,5,-4
176,6.04315299065285,46.1468859817053,Seismic 2D,4000,15,-5
177,6.04442398365118,46.1478014110063,Gravimetry,3000,5,-4
178,6.04444701390183,46.1469019961071,Gravimetry,3000,5,25
179,6.04447004339713,46.146002581257,Gravimetry,3000,5,-8
180,6.04449307213713,46.1451031664561,Seismic 2D,500,20,33
181,6.04571802900594,46.1478174108257,Gravimetry,3000,5,15
182,6.04574103790616,46.1469179956649,Gravimetry,3000,5,17
183,6.04576404605173,46.1460185805531,Seismic 2D,500,20,55
184,6.04578705344269,46.1451191654906,Seismic 2D,500,20,47
185,6.0470120751154,46.1478333958008,Seismic 2D,500,20,0
186,6.04703506266514,46.1469339803786,Seismic 2D,500,20,20
187,6.04705804946093,46.1460345650054,Gravimetry,3000,5,-10
188,6.04708103268702,46.1451351515646,Seismic 2D,500,20,23
189,6.04451610012186,46.1442037517047,Seismic 2D,4000,15,42
